 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Sep 22, 2014 14:00 ",1214.34 ,1215.22 ,1212.29 ,1214.51 ,+1.7 ,+0.01%
"Sep 22, 2014 13:00 ",1214.54 ,1215.05 ,1212.77 ,1214.32 ,-2.2 ,-0.02%
"Sep 22, 2014 12:00 ",1214.77 ,1215.79 ,1213.82 ,1214.64 ,-1.3 ,-0.01%
"Sep 22, 2014 11:00 ",1214.69 ,1216.02 ,1214.52 ,1214.77 ,+0.8 ,+0.01%
"Sep 22, 2014 10:00 ",1214.12 ,1215.77 ,1213.69 ,1214.62 ,+5.0 ,+0.04%
"Sep 22, 2014 09:00 ",1212.98 ,1214.87 ,1211.78 ,1214.12 ,+11.4 ,+0.09%
"Sep 22, 2014 08:00 ",1213.29 ,1214.04 ,1210.64 ,1212.96 ,-3.3 ,-0.03%
"Sep 22, 2014 07:00 ",1213.14 ,1213.99 ,1212.74 ,1213.33 ,+1.9 ,+0.02%
"Sep 22, 2014 06:00 ",1213.14 ,1214.29 ,1212.95 ,1213.19 ,+0.5 ,+0.00%
"Sep 22, 2014 05:00 ",1212.06 ,1214.49 ,1211.84 ,1213.16 ,+11.0 ,+0.09%
"Sep 22, 2014 04:00 ",1217.24 ,1217.24 ,1208.14 ,1211.96 ,-52.8 ,-0.44%
"Sep 22, 2014 03:00 ",1216.1 ,1217.85 ,1215.82 ,1217.29 ,+11.9 ,+0.10%
"Sep 22, 2014 02:00 ",1214.88 ,1216.35 ,1214.75 ,1216.05 ,+11.7 ,+0.10%
"Sep 22, 2014 01:00 ",1215.12 ,1216.28 ,1214.7 ,1214.81 ,-3.1 ,-0.03%
"Sep 19, 2014 23:00 ",1217.63 ,1217.69 ,1214.83 ,1215.46 ,-21.7 ,-0.18%
"Sep 19, 2014 22:00 ",1215.44 ,1217.71 ,1215.44 ,1217.54 ,+21.0 ,+0.17%
"Sep 19, 2014 21:00 ",1215.34 ,1216.39 ,1214.75 ,1215.45 ,+1.1 ,+0.01%
"Sep 19, 2014 20:00 ",1216.89 ,1217.19 ,1213.75 ,1215.44 ,-14.5 ,-0.12%
"Sep 19, 2014 19:00 ",1218.17 ,1218.82 ,1215.39 ,1216.96 ,-12.1 ,-0.10%
"Sep 19, 2014 18:00 ",1217.14 ,1220.34 ,1216.42 ,1218.17 ,+10.3 ,+0.08%
